instance,TP,TN,FP,FN,#fp_dev,acc,prec,rec,spec,F1,ano_link_perc,avg_model_acc,gt_match,#fault_paths,ratio_of_found_gtfp,avg_fp_len,runtime (s),classification_ratio,diag_success,compensation_by_aff_by_savior,missed_chances,no_second_chance
129_30_10_50_50_95_99_42_7,38,88,2,1,39,0.98,0.95,0.97,0.98,0.96,92.41,0.97,False,99,0.43,5.53,24.02,1.0,True,39,0,0
129_30_10_50_50_95_99_42_16,38,88,2,1,2458,0.98,0.95,0.97,0.98,0.96,97.05,0.97,False,597,0.77,10.52,277.23,1.0,True,39,0,0
129_30_10_50_50_95_99_42_10,38,88,2,1,290,0.98,0.95,0.97,0.98,0.96,99.02,0.97,False,5601,0.87,14.29,604.45,1.0,True,39,0,0
129_30_10_50_50_95_99_42_13,39,87,3,0,1974,0.98,0.93,1.0,0.97,0.96,100.0,0.97,False,799,0.99,11.05,155.35,1.0,True,39,0,0
129_30_10_50_50_95_99_42_0,39,87,3,0,1069,0.98,0.93,1.0,0.97,0.96,100.0,0.97,False,810,1.0,9.24,161.48,1.0,True,39,0,0
129_30_10_50_50_95_99_42_18,39,87,3,0,18163,0.98,0.93,1.0,0.97,0.96,100.0,0.97,False,1927,0.83,12.76,15250.6,1.0,True,39,0,0
129_30_10_50_50_95_99_42_11,37,89,1,2,1264,0.98,0.97,0.95,0.99,0.96,83.37,0.97,False,2344,0.19,11.44,127.57,1.0,True,38,0,0
129_30_10_50_50_95_99_42_21,38,87,3,1,1117,0.97,0.93,0.97,0.97,0.95,98.34,0.97,False,912,0.81,11.64,113.55,1.0,True,39,0,0
129_30_10_50_50_95_99_42_8,37,88,2,2,127,0.97,0.95,0.95,0.98,0.95,93.25,0.97,False,494,0.7,8.88,35.66,1.0,True,37,0,0
129_30_10_50_50_95_99_42_12,39,86,4,0,5804,0.97,0.91,1.0,0.96,0.95,100.0,0.97,False,426,0.36,9.44,725.83,1.0,True,38,0,0
129_30_10_50_50_95_99_42_15,38,88,2,1,36,0.98,0.95,0.97,0.98,0.96,99.83,0.97,False,231,0.93,8.61,29.78,1.0,True,37,0,0
129_30_10_50_50_95_99_42_20,38,88,2,1,298,0.98,0.95,0.97,0.98,0.96,96.49,0.97,False,445,0.83,8.94,50.1,1.0,True,38,0,0
129_30_10_50_50_95_99_42_9,37,88,2,2,2251,0.97,0.95,0.95,0.98,0.95,78.92,0.97,False,2520,0.09,13.63,127.53,1.0,True,39,0,0
129_30_10_50_50_95_99_42_19,38,87,3,1,8981,0.97,0.93,0.97,0.97,0.95,96.42,0.97,False,3707,0.54,14.97,10073.19,1.0,True,39,0,0
129_30_10_50_50_95_99_42_4,38,88,2,1,9974,0.98,0.95,0.97,0.98,0.96,93.92,0.97,False,22406,0.54,16.23,5683.56,1.0,True,38,0,0
129_30_10_50_50_95_99_42_23,38,88,2,1,1729,0.98,0.95,0.97,0.98,0.96,87.72,0.97,False,2405,0.18,12.71,126.7,1.0,True,39,0,0
129_30_10_50_50_95_99_42_1,38,89,1,1,42,0.98,0.97,0.97,0.99,0.97,98.68,0.97,False,680,0.87,11.94,56.73,1.0,True,38,0,0
129_30_10_50_50_95_99_42_22,39,88,2,0,112,0.98,0.95,1.0,0.98,0.97,100.0,0.97,False,205,1.0,8.2,28.03,1.0,True,39,0,0
129_30_10_50_50_95_99_42_3,38,89,1,1,459,0.98,0.97,0.97,0.99,0.97,100.0,0.97,False,2148,0.97,11.61,205.83,1.0,True,38,0,0
129_30_10_50_50_95_99_42_17,39,87,3,0,7947,0.98,0.93,1.0,0.97,0.96,100.0,0.97,False,787,0.44,10.61,1504.98,1.0,True,39,0,0
129_30_10_50_50_95_99_42_2,36,90,0,3,427,0.98,1.0,0.92,1.0,0.96,96.2,0.97,False,2081,0.67,9.82,132.07,1.0,True,39,0,0
129_30_10_50_50_95_99_42_14,37,90,0,2,10,0.98,1.0,0.95,1.0,0.97,94.96,0.97,False,122,0.84,7.5,25.11,1.0,True,38,0,0
